"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)"
"Dimension: Gender"
"Definition: Share of female graduates among all graduates of tertiary programmes in science, technology, engineering and mathematics."
"Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2009-2019",""
"39"," Slovakia","32.3","","36.0","","36.1","","35.4","","35.9","","36.6","","37.2","","35.6","","..","","35.2","","..","","..","","35.2","a"
"22"," Slovenia","..","","26.0","","28.0","","28.1","","29.8","","31.4","","31.4","","33.3","","..","","33.3","","..","","..","","33.3","a"
"114"," South Africa","..","","..","","..","","..","","..","","..","","41.2","","41.3","","41.9","","42.8","","..","","..","","42.8","a"
"25"," Spain","31.8","","30.3","","31.1","","30.3","","30.9","","29.5","","29.1","","29.4","","29.7","","29.6","","..","","..","","29.6","a"
"72"," Sri Lanka","..","","..","","..","","..","","..","","..","","..","","39.5","","42.6","","40.3","","40.6","","..","","40.6","a"
"170"," Sudan","..","","..","","..","","..","","42.4","","..","","..","","47.2","","..","","..","","..","","..","","47.2","a"
"7"," Sweden","32.6","","34.1","","34.4","","33.0","","32.6","","32.4","","..","","33.8","","35.2","","35.5","","..","","..","","35.5","a"
"2"," Switzerland","14.7","","17.1","","20.7","","20.8","","..","","21.6","","21.9","","22.7","","22.1","","22.3","","..","","..","","22.3","a"
"151"," Syrian Arab Republic","..","","..","","..","","..","","..","","..","","..","","..","","49.5","","..","","..","","..","","49.5","a"
"79"," Thailand","..","","..","","..","","..","","..","","..","","..","","29.7","","30.1","","..","","..","","..","","30.1","a"
"95"," Tunisia","..","","..","","..","","..","","43.1","","..","","..","","53.3","","54.4","","..","","55.4","","..","","55.4","a"
"54"," Turkey","31.5","","29.1","","31.4","","33.2","","34.6","","..","","34.7","","..","","..","","..","","..","","..","","34.7","a"
"159"," Uganda","16.8","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Ukraine","..","","..","","..","","..","","30.2","","..","","..","","29.7","","29.5","","27.4","","28.8","","..","","28.8","a"
"31"," United Arab Emirates","..","","..","","..","","41.4","","45.9","","..","","..","","41.5","","43.5","","41.5","","..","","..","","41.5","a"
"13"," United Kingdom","32.3","","30.9","","30.2","","30.3","","30.6","","37.3","","37.9","","38.0","","38.1","","..","","..","","..","","38.1","a"
